Heath Springs,790,34.602422,-80.71031
Hemingway,459,33.741887,-79.448895
Hickory Grove,440,34.970833,-81.430599
Hilda,447,33.273333,-81.247222
Hilton Head Island,68998,32.1632,-80.7533
Hodges,155,34.288167,-82.214225
Holly Hill,1277,33.327586,-80.402393
Hollywood,4714,32.722306,-80.259566
Honea Path,3505,34.441723,-82.425471
Hopkins,-,33.934868,-80.844906
Horatio,-,34.021111,-80.566111
Huger,-,33.018436,-79.807254
Inman,2321,35.052795,-82.054013
Irmo,11097,34.110254,-81.196553
Islandton,-,32.950324,-80.891589
Isle Of Palms,-,32.794252,-79.772949
Iva,1218,34.319847,-82.657437
Jackson,1700,33.338886,-81.797628
Jacksonboro,-,32.77,-80.454722
Jamestown,72,33.228797,-79.715551
Jefferson,753,34.654581,-80.363934
Jenkinsville,46,34.271693,-81.271153
Joanna,-,34.406795,-81.81907
Johns Island,-,32.709697,-80.094294
Johnsonville,1480,33.829873,-79.478256
Johnston,2362,33.823075,-81.797242
Jonesville,911,34.837368,-81.684218
Kershaw,1803,34.557809,-80.554633
Kinards,-,34.355219,-81.71975
Kingstree,6095,33.687841,-79.783221
La France,-,34.611944,-82.765278
Ladson,-,32.993019,-80.125701
Ladys Island,-,32.4446,-80.6412
Lake City,8496,33.865473,-79.741794
Lake View,807,34.34449,-79.192869
Lamar,989,34.189044,-80.030134
Lancaster,23979,34.749006,-80.761576
Lando,-,34.776111,-81.010278
Landrum,4239,35.156486,-82.211473
Lane,508,33.50827,-79.871545
Langley,-,33.517778,-81.844167
Latta,1379,34.339829,-79.441704
Laurens,10336,34.500714,-82.026774
Leesville,-,33.913169,-81.459753
Lexington,17870,33.981389,-81.236389
Liberty,3269,34.787189,-82.697429
Liberty Hill,-,34.478056,-80.801944
Little Mountain,291,34.167569,-81.418375
Little River,-,33.876806,-78.650829
Little Rock,-,34.404803,-79.326948
Lobeco,-,32.5525,-80.743611
Lockhart,488,34.786389,-81.462222
Lodge,120,32.982263,-80.934641
Long Creek,-,34.754954,-83.184728
Longs,-,33.906408,-78.793359
Loris,2396,34.055756,-78.916096
Lowndesville,128,34.26624,-82.571021
Lugoff,-,34.22961,-80.714712
Luray,127,32.86177,-81.223506
Lydia,-,34.288889,-80.1125
Lyman,3243,34.968443,-82.143479
Lynchburg,373,34.052603,-80.098821
Manning,4998,33.667716,-80.222078
Marietta,-,35.029644,-82.513622
Marion,7464,34.156195,-79.389822
Martin,-,33.109286,-81.500304
Mauldin,22889,34.780675,-82.303507
Mayesville,731,34.046463,-80.234927
Mayo,-,35.083889,-81.86
Mc Bee,-,34.46056,-80.254434
Mc Clellanville,-,33.10472,-79.479982
Mc Coll,-,34.670406,-79.559741
Mc Connells,-,34.867667,-81.236803
Mc Cormick,-,33.914646,-82.271862
Miley,-,32.947778,-81.031944
Minturn,-,34.516944,-79.4725
Modoc,-,33.724894,-82.203469
Moncks Corner,7885,33.163071,-80.036576
Monetta,236,33.774729,-81.536299
Montmorenci,-,33.527778,-81.636667
Moore,-,34.883453,-82.017893
Mount Carmel,-,33.970323,-82.43607
Mount Croghan,195,34.743895,-80.242791
Mount Pleasant,67843,32.816211,-79.852031
Mountain Rest,-,34.854119,-83.113402
Mountville,-,34.340791,-81.958429
Mullins,5512,34.204441,-79.254155
Murrells Inlet,-,33.550717,-79.05275
Myrtle Beach,27109,33.758701,-78.804448
Neeses,374,33.534282,-81.083433
Nesmith,-,33.591652,-79.551301
New Ellenton,2052,33.417242,-81.687376
New Zion,-,33.795736,-80.014753
Newberry,12046,34.284661,-81.615741
Newry,-,34.725,-82.91
Nichols,368,34.242629,-79.162493
Ninety Six,1998,34.165198,-82.029185
Norris,813,34.765472,-82.755492
North,754,33.621121,-81.060096
North Augusta,21348,33.517766,-81.934794
North Charleston,548404,32.933096,-80.086463
North Myrtle Beach,13752,33.822801,-78.67792
Norway,337,33.453402,-81.109744
Okatie,-,32.327778,-80.847778
Olanta,563,33.928545,-79.915349
Olar,257,33.18364,-81.164042
Orangeburg,33506,33.502545,-80.859282
Pacolet,2235,34.901708,-81.758703
Pacolet Mills,-,34.9225,-81.742778
Pageland,4100,34.772193,-80.396615
Pamplico,1226,33.992166,-79.592917
Parksville,117,33.786111,-82.219722
Patrick,351,34.559823,-80.064984
Pauline,-,34.774808,-81.857853
Pawleys Island,11532,33.450825,-79.134128
Peak,64,34.240556,-81.323611
Pelion,674,33.776628,-81.250161
Pelzer,89,34.646063,-82.467334
Pendleton,2964,34.63694,-82.740623
Pickens,3126,34.902403,-82.705784
Piedmont,-,34.724433,-82.470216
Pineland,-,32.602065,-81.176116
Pineville,-,33.419926,-80.093181
Pinewood,538,33.764216,-80.497761
Pinopolis,-,33.224125,-80.039761
Plum Branch,82,33.832893,-82.248041
Pomaria,179,34.306281,-81.449973
Port Royal,10678,32.384205,-80.69278
Prosperity,1180,34.183243,-81.532353
Rains,-,34.0975,-79.315833
Ravenel,2465,32.788088,-80.222346
Reevesville,196,33.187213,-80.66725
Reidville,601,34.862778,-82.114444
Rembert,-,34.108467,-80.494544
Richburg,275,34.682185,-80.989061
Richland,-,34.677778,-83.025556
Ridge Spring,737,33.871403,-81.655949
Ridgeland,5301,32.491938,-80.949435
Ridgeville,1979,33.108017,-80.308611
Ridgeway,319,34.316651,-80.928813
Rion,-,34.306944,-81.125278
Rock Hill,104996,34.915068,-81.012904
Roebuck,-,34.8688,-81.95255
Round O,-,32.940516,-80.573882
Rowesville,304,33.370257,-80.833115
Ruby,360,34.737928,-80.190966
Ruffin,-,33.010319,-80.813653
Russellville,-,33.396944,-79.971944
Saint George,-,33.184532,-80.573246
Saint Helena Island,-,32.380213,-80.533863
Saint Matthews,-,33.694212,-80.856286
Saint Stephen,-,33.405953,-79.937635
Salem,135,34.872836,-82.960687
Salley,398,33.597233,-81.318418
Salters,-,33.561138,-79.830024
Saluda,3528,34.017451,-81.775398
Sandy Springs,-,34.595278,-82.75
Santee,961,33.483533,-80.480498
Sardinia,-,33.834167,-80.083056
Scotia,215,32.680833,-81.243611
Scranton,932,33.92813,-79.773101
Seabrook,-,32.526884,-80.740793
Sellers,219,34.269522,-79.436948
Seneca,26054,34.7347,-82.9482
Sharon,494,34.908396,-81.372907
Shaw A F B,-,33.980262,-80.481093
Sheldon,-,32.601389,-80.793333
Silverstreet,162,34.235553,-81.703684
Simpsonville,18238,34.736944,-82.254444
Six Mile,675,34.828287,-82.827795
Slater,-,35.031667,-82.495278
Smoaks,126,33.096319,-80.813021
