OR,TILLAMOOK,2020/10/16,5,116,-15151500,-15151500
RI,NORTH PROVIDENCE,2020/10/16,32,122,-17543842,87
SC,BEAUFORT,2020/10/16,7,204,-8333325,90
UT,TOOELE,2020/10/16,48,221,-24999975,100
WA,CENTRALIA,2020/10/16,19,436,-16666650,-16666650
WV,LOGAN,2020/10/16,21,163,-8333325,77
AZ,GLOBE,2020/10/09,62,144,-24999975,-24999975
AZ,PHOENIX,2020/10/09,4,113,-2499997,59
CO,DELTA,2020/10/09,8,224,-16666650,-16666650
DE,MILFORD,2020/10/09,11,155,-4999995,38
FL,SAINT AUGUSTINE,2020/10/09,6,117,-2272725,47
GA,SWAINSBORO,2020/10/09,111,133,84,84
IL,URBANA,2020/10/09,8,116,-2083331,72
IN,COLUMBUS,2020/10/09,11,143,-5882347,67
KS,GIRARD,2020/10/09,18,187,-24999975,-24999975
KS,NEWTON,2020/10/09,5,136,0,-16666650
LA,ALEXANDRIA,2020/10/09,13,192,-3846150,53
MS,PHILADELPHIA,2020/10/09,64,183,0,0
MS,WAYNESBORO,2020/10/09,41,336,-16666650,-16666650
MO,JOPLIN,2020/10/09,18,126,43,100
MT,HAVRE,2020/10/09,106,161,-16666650,-16666650
MT,SIDNEY,2020/10/09,84,368,0,100
NE,FREMONT,2020/10/09,11,188,-12499987,73
NE,OMAHA,2020/10/09,10,119,15,67
NE,OMAHA,2020/10/09,9,115,9,83
NE,OMAHA,2020/10/09,12,141,-4999995,93
NE,NORTH PLATTE,2020/10/09,22,137,-3124996,14
NM,SANTA FE,2020/10/09,5,199,0,-5555550
NY,BROOKLYN,2020/10/09,4,135,-1984125,74
NY,YONKERS,2020/10/09,20,170,-1923075,27
OR,HOOD RIVER,2020/10/09,14,124,-24999975,-24999975
OR,HILLSBORO,2020/10/09,22,152,-10638287,48
PA,PITTSBURGH,2020/10/09,3,161,-1449273,81
RI,NORTH PROVIDENCE,2020/10/09,35,124,-17543842,87
TX,BEAUMONT,2020/10/09,16,275,10,62
VA,GRUNDY,2020/10/09,0,149,0,100
WA,ISSAQUAH,2020/10/09,11,389,-3846150,60
WA,SEATTLE,2020/10/09,2,373,-1851850,101
WA,SEATTLE,2020/10/09,9,378,-925925,28
WA,EDMONDS,2020/10/09,11,364,-2222220,23
WA,COLVILLE,2020/10/09,82,263,-22222200,-22222200
WA,WALLA WALLA,2020/10/09,9,244,-9090900,90
AK,ANCHORAGE,2020/10/02,0,472,0,-14285700
AZ,PHOENIX,2020/10/02,14,262,-1818180,57
FL,SAINT AUGUSTINE,2020/10/02,25,306,11,55
GA,FITZGERALD,2020/10/02,110,171,-24999975,-24999975
GA,SWAINSBORO,2020/10/02,80,116,81,84
IL,GALESBURG,2020/10/02,8,242,-16666650,-16666650
IN,RICHMOND,2020/10/02,62,373,19,47
KS,BELOIT,2020/10/02,0,327,0,-24999975
MO,SAINT PETERS,2020/10/02,24,113,53,77
MO,SAINT LOUIS,2020/10/02,6,135,12,91
MT,POLSON,2020/10/02,22,190,0,0
MT,BILLINGS,2020/10/02,28,111,41,81
NE,FREMONT,2020/10/02,13,192,-12499987,67
NE,OMAHA,2020/10/02,9,146,-5235596,97
NE,OMAHA,2020/10/02,9,110,19,91
NE,NORTH PLATTE,2020/10/02,22,164,-3124996,-3124996
NJ,NEWARK,2020/10/02,-245097,180,-735293,20
NY,YONKERS,2020/10/02,15,159,-1923075,22
RI,NORTH PROVIDENCE,2020/10/02,33,125,-19607823,96
SD,RAPID CITY,2020/10/02,95,580,12,48
GU,TAMUNING,2020/10/02,114,294,54,73
AK,SOLDOTNA,2020/09/25,1,116,-11111100,60
FL,SAINT AUGUSTINE,2020/09/25,27,314,12,57
GA,CORDELE,2020/09/25,49,134,52,111
GA,WARNER ROBINS,2020/09/25,19,113,25,88
IN,COLUMBUS,2020/09/25,4,117,0,47
MN,BEMIDJI,2020/09/25,41,318,-9999990,50
MN,WORTHINGTON,2020/09/25,33,142,0,0
MN,THIEF RIVER FALLS,2020/09/25,36,188,0,-24999975
NE,KEARNEY,2020/09/25,30,272,21,73
NE,FREMONT,2020/09/25,12,197,-12499987,80
NE,OMAHA,2020/09/25,31,512,-5524856,97
NE,OMAHA,2020/09/25,23,423,10,94
NE,OMAHA,2020/09/25,54,302,28,83
NE,GRAND ISLAND,2020/09/25,40,318,-10309268,93
NE,LINCOLN,2020/09/25,49,235,16,74
NE,LINCOLN,2020/09/25,21,181,-1818180,52
NE,NORTH PLATTE,2020/09/25,52,442,-3124996,-3124996
NE,BELLEVUE,2020/09/25,5,115,0,-10638287
NY,YONKERS,2020/09/25,15,158,-1923075,21
ND,BISMARCK,2020/09/25,115,434,21,52
ND,FARGO,2020/09/25,61,422,4,26
PA,SCRANTON,2020/09/25,0,110,0,26
RI,NORTH PROVIDENCE,2020/09/25,33,116,-18518500,90
SD,ABERDEEN,2020/09/25,67,215,-12499987,-12499987
SD,SIOUX FALLS,2020/09/25,67,398,10,32
AZ,YUMA,2020/09/18,12,295,-4694830,98
FL,SAINT AUGUSTINE,2020/09/18,14,174,15,59
IL,OLNEY,2020/09/18,66,227,-12499987,-12499987
IN,COLUMBUS,2020/09/18,6,134,-5882347,51
MO,KANSAS CITY,2020/09/18,17,192,8,48
MO,KANSAS CITY,2020/09/18,19,121,50,83
MO,HOUSTON,2020/09/18,24,173,-24999975,-24999975
MT,POLSON,2020/09/18,-4545450,263,0,100
NE,FREMONT,2020/09/18,14,191,-12499987,76
NJ,SOMERS POINT,2020/09/18,0,119,-5917153,71
NY,YONKERS,2020/09/18,17,172,-1923075,23
RI,NORTH PROVIDENCE,2020/09/18,31,116,-19999980,98
SD,RAPID CITY,2020/09/18,64,162,10,41
VA,ROANOKE,2020/09/18,9,116,12,86
IN,COLUMBUS,2020/09/11,4,124,-5882347,44
MO,KANSAS CITY,2020/09/11,20,134,0,0
NE,FREMONT,2020/09/11,13,201,-12499987,86
NE,WAYNE,2020/09/11,-4999995,130,0,100
NY,YONKERS,2020/09/11,12,174,-1923075,25
NC,LAURINBURG,2020/09/11,92,489,-7142850,31
OH,CLEVELAND,2020/09/11,4,183,3,65
RI,NORTH PROVIDENCE,2020/09/11,31,119,-11627895,66
WA,TOPPENISH,2020/09/11,45,252,100,100
AR,CLARKSVILLE,2020/09/04,10,118,-12499987,-12499987
GA,COLUMBUS,2020/09/04,22,225,15,89
ID,IDAHO FALLS,2020/09/04,32,135,-6249993,30
IN,COLUMBUS,2020/09/04,8,117,-5882347,54
KS,NEWTON,2020/09/04,10,180,0,-16666650
KY,FLEMINGSBURG,2020/09/04,0,170,0,0
KY,BEREA,2020/09/04,8,112,-24999975,100
MS,CORINTH,2020/09/04,21,204,25,78
MT,ANACONDA,2020/09/04,0,155,0,100
NE,FREMONT,2020/09/04,5,166,-12499987,63
NJ,SOMERS POINT,2020/09/04,0,112,-6249993,36
NY,YONKERS,2020/09/04,13,163,-1923075,27
NC,SANFORD,2020/09/04,5,157,-12499987,57
NC,LAURINBURG,2020/09/04,47,186,-9090900,46
OH,TOLEDO,2020/09/04,12,250,4,42
RI,NORTH PROVIDENCE,2020/09/04,30,124,-23255790,100
UT,PRICE,2020/09/04,-2083331,189,-9090900,-9090900
WA,TOPPENISH,2020/09/04,59,450,100,100
IN,COLUMBUS,2020/08/28,10,135,-5882347,56
KY,BEREA,2020/08/28,15,112,-24999975,100
MD,PRINCE FREDERICK,2020/08/28,10,114,-16666650,-16666650
MO,CLINTON,2020/08/28,27,220,-12499987,61
NE,FREMONT,2020/08/28,7,187,-12499987,83
NH,LACONIA,2020/08/28,3,124,-16666650,-16666650
NY,YONKERS,2020/08/28,17,174,0,29
NC,SANFORD,2020/08/28,8,223,-12499987,70
PA,WEST READING,2020/08/28,23,133,8,45
RI,NORTH PROVIDENCE,2020/08/28,26,135,-24390219,-24390219
SC,COLUMBIA,2020/08/28,23,189,48,100
VA,GALAX,2020/08/28,25,212,-9999990,65
WA,TOPPENISH,2020/08/28,17,162,100,100
AR,JONESBORO,2020/08/21,16,120,24,93
IL,OAK PARK,2020/08/21,9,112,-9009000,90
IN,COLUMBUS,2020/08/21,20,159,-5882347,58
KY,MC DOWELL,2020/08/21,-476189,110,-24999975,100
KY,BEREA,2020/08/21,8,112,-24999975,100
MD,LEONARDTOWN,2020/08/21,26,191,-8333325,41
MS,MERIDIAN,2020/08/21,57,154,36,100
NY,YONKERS,2020/08/21,80,317,-1923075,29
OH,CLEVELAND,2020/08/21,14,398,5,68
OR,OREGON CITY,2020/08/21,-1315788,185,0,-16666650
OR,MILWAUKIE,2020/08/21,-1886790,228,-24999975,-24999975
OR,MEDFORD,2020/08/21,13,207,-8333325,69
OR,PORTLAND,2020/08/21,6,254,-1282050,56
OR,NEWBERG,2020/08/21,-2702700,170,-24999975,-24999975
RI,NORTH PROVIDENCE,2020/08/21,25,125,-17857125,-17857125
PR,HUMACAO,2020/08/21,1,114,0,101
GA,TIFTON,2020/08/14,38,169,33,100
IL,NAPERVILLE,2020/08/14,45,414,9,59
IL,ELMHURST,2020/08/14,22,365,-1612901,49
IN,COLUMBUS,2020/08/14,13,151,-5882347,50
KS,DODGE CITY,2020/08/14,22,238,-23255790,-23255790
KY,SALEM,2020/08/14,0,124,0,100
KY,BEREA,2020/08/14,-571428,112,-24999975,100
MT,BILLINGS,2020/08/14,20,180,23,66
NE,FREMONT,2020/08/14,29,545,-12499987,67
NM,ROSWELL,2020/08/14,-1234566,138,0,-24999975
NY,BROOKLYN,2020/08/14,49,285,0,41
NY,LOCKPORT,2020/08/14,-357142,116,100,100
NC,SILER CITY,2020/08/14,3,110,-24999975,-24999975
NC,MURPHY,2020/08/14,0,113,-16666650,83
OH,ELYRIA,2020/08/14,5,123,-3496500,81
PA,WILKES-BARRE,2020/08/14,2,251,0,64
RI,NORTH PROVIDENCE,2020/08/14,27,130,-15151500,89
WY,LARAMIE,2020/08/14,0,146,0,-14285700
WY,CASPER,2020/08/14,17,143,-7142850,82
PR,HUMACAO,2020/08/14,3,114,0,100
FL,SAINT AUGUSTINE,2020/08/07,26,186,17,47
IN,COLUMBUS,2020/08/07,21,130,-6249993,68
MT,GREAT FALLS,2020/08/07,5,140,-8196713,100
NE,KEARNEY,2020/08/07,27,153,-6134963,24
NE,KEARNEY,2020/08/07,7,111,-5181341,72
NE,OMAHA,2020/08/07,16,118,28,61
NE,OMAHA,2020/08/07,10,145,7,65
NE,OMAHA,2020/08/07,6,203,10,51
NE,GRAND ISLAND,2020/08/07,12,133,-7299262,70
NE,LINCOLN,2020/08/07,13,122,-2272725,52
NH,BERLIN,2020/08/07,-1333332,133,0,-19999980
NM,GALLUP,2020/08/07,24,151,-12820500,60
NC,ROANOKE RAPIDS,2020/08/07,13,152,-7751930,46
OH,GENEVA,2020/08/07,14,214,-19999980,-19999980
OH,PARMA,2020/08/07,15,121,32,92
OH,CHARDON,2020/08/07,33,222,-12499987,51
OH,BEAVER CREEK,2020/08/07,20,210,-9615375,57
OH,XENIA,2020/08/07,0,131,0,0
OH,CINCINNATI,2020/08/07,21,147,11,76
OH,CINCINNATI,2020/08/07,18,137,10,59
OH,FINDLAY,2020/08/07,9,126,-2941173,85
OH,TROY,2020/08/07,0,190,0,-24999975
OH,MIAMISBURG,2020/08/07,13,192,-8333325,66
OH,DAYTON,2020/08/07,5,176,-2857140,88
OH,ZANESVILLE,2020/08/07,6,119,-4166662,51
OH,RAVENNA,2020/08/07,46,509,-12499987,-12499987
OK,ENID,2020/08/07,9,113,-9090900,67
PA,SCRANTON,2020/08/07,0,256,0,-8403352
RI,NORTH PROVIDENCE,2020/08/07,28,127,-12658215,88
TX,NACOGDOCHES,2020/08/07,57,110,46,56
CA,MISSION HILLS,2020/07/31,38,144,31,81
IN,COLUMBUS,2020/07/31,9,131,-5882347,48
KS,CHANUTE,2020/07/31,10,315,-19999980,-19999980
MI,WYOMING,2020/07/31,4,164,-5882347,27
MI,ADRIAN,2020/07/31,20,364,-11111100,-11111100
MS,TUPELO,2020/07/31,88,172,32,51
NH,MANCHESTER,2020/07/31,5,192,-3571425,36
NJ,CAMDEN,2020/07/31,5,112,6,88
NJ,CAPE MAY COURT HOUSE,2020/07/31,2,142,-8849548,100
NY,SARATOGA SPRINGS,2020/07/31,7,279,-3225803,81
OH,ATHENS,2020/07/31,24,389,0,98
OH,CLEVELAND,2020/07/31,190,1642,12,84
OH,GALLIPOLIS,2020/07/31,17,190,-7142850,42
OH,BEAVER CREEK,2020/07/31,18,127,-10309268,54
OH,LOGAN,2020/07/31,8,118,-19999980,-19999980
OH,TROY,2020/07/31,-5263152,510,-14492739,-14492739
OH,DAYTON,2020/07/31,17,388,-3030300,78
OK,LAWTON,2020/07/31,38,344,18,76
PA,SCRANTON,2020/07/31,14,360,-8771921,67
WA,KENNEWICK,2020/07/31,29,154,48,80
WA,BELLEVUE,2020/07/31,11,162,-3124996,71
